Year,Ranking,Artist,Album,Worldwide Sales,CDs,Tracks,Genre
2015,2,Justin Bieber,Purpose,"14,000,000",1,14,Pop
2015,3,Twenty One Pilots,Blurryface,"6,500,000",1,14,Hip Hop
2016,1,Drake_(músico),Views,"7,657,000",1,20,Hip Hop
2016,2,Post Malone,Stoney,"6,111,355",1,14,Hip Hop
2016,3,The Weeknd,Starboy,"4,421,666",1,18,R&B
2017,1,Ed Sheeran,Divide,"13,430,805",1,12,Pop
2017,2,Robert_Lopez,The Greatest Showman,"6,295,619",1,13,Pop
2017,3,Taylor Swift,Reputation,"5,746,523",1,15,Pop
2018,1,Post Malone,Beerbongs & Bentleys,"6,636,118",1,18,Hip Hop
2018,2,Drake_(músico),Scorpion,"6,133,983",2,25,Hip Hop
2018,3,Travis Scott,Astroworld,"4,907,811",1,17,Hip Hop
2019,1,Billie Eilish,"When We All Fall Asleep, Where Do We Go?","6,031,516",1,14,Pop
2019,2,Post Malone,Hollywood's Bleeding,"6,243,665",1,17,Hip Hop
2019,3,BTS,Map Of The Soul: Persona,"5,670,554",1,7,Pop
2020,1,BTS,Map Of The Soul: 7,"6,829,450",1,20,Pop
2020,2,BTS,Be,"5,397,015",1,8,Pop
2020,3,Pop Smoke,"Shoot For The Stars, Aim For The Moon","4,777,389",1,19,Hip Hop
2021,1,Adele,30,"4,485,025",1,12,Pop
2021,2,Olivia Rodrigo,Sour,"3,830,500",1,11,Pop
2021,3,Mark_Lee,Hot Sauce,"3,633,287",1,10,Pop
